Date,Open,High,Low,Close,Adj_Close,Volume,USD_Index,CPI,Yield_10Y,headline_count,avg_sentiment,std_sentiment
2014-12-03,1198.1,1213.7,1196.1,1208.5,1208.5,440,88.96,236.252,2.29,2,-0.1289,0.7506645589076387
2014-12-04,1208.2,1213.0,1201.6,1207.5,1207.5,358,88.7,236.252,2.25,2,0.0,0.0
2014-12-05,1203.1,1206.0,1186.7,1190.1,1190.1,560,89.33,236.252,2.31,3,0.1339666666666666,0.2320370731873106
2014-12-08,1190.6,1207.0,1187.2,1194.7,1194.7,183,89.04,236.252,2.26,0,0.0,0.0
2014-12-09,1202.0,1238.0,1202.0,1231.5,1231.5,314,88.69,236.252,2.22,0,0.0,0.0
2014-12-10,1231.2,1234.6,1226.6,1228.9,1228.9,306,88.27,236.252,2.18,1,-0.0772,0.0
2014-12-11,1226.6,1231.2,1216.2,1225.1,1225.1,264,88.66,236.252,2.19,0,0.0,0.0
2014-12-12,1227.8,1227.8,1216.2,1222.0,1222.0,203,88.36,236.252,2.1,2,0.1909,0.2699733690570238
2014-12-15,1223.1,1223.1,1198.4,1207.2,1207.2,77,88.46,236.252,2.12,2,-0.10025,0.1782616195371286
2014-12-16,1197.2,1222.0,1192.7,1193.9,1193.9,223,88.13,236.252,2.07,0,0.0,0.0
2014-12-17,1198.2,1199.6,1184.0,1194.3,1194.3,94,89.13,236.252,2.14,0,0.0,0.0
2014-12-18,1189.7,1207.3,1189.7,1194.7,1194.7,197,89.24,236.252,2.22,1,-0.25,0.0
2014-12-19,1198.0,1200.8,1195.9,1195.9,1195.9,96,89.6,236.252,2.17,0,0.0,0.0
2014-12-22,1198.0,1198.0,1172.7,1179.7,1179.7,223,89.77,236.252,2.17,1,0.0,0.0
2014-12-23,1179.3,1180.3,1175.0,1177.9,1177.9,232,90.06,236.252,2.26,0,0.0,0.0
2014-12-24,1177.0,1179.3,1173.5,1173.5,1173.5,23,89.97,236.252,2.27,0,0.0,0.0
2014-12-26,1177.2,1195.3,1177.2,1195.3,1195.3,124,90.03,236.252,2.25,1,0.5719,0.0
2014-12-29,1186.5,1186.5,1181.3,1181.7,1181.7,180,90.19,236.252,2.22,1,0.0,0.0
2014-12-30,1181.4,1210.3,1181.4,1200.2,1200.2,191,89.99,236.252,2.2,0,0.0,0.0
2014-12-31,1199.2,1199.2,1182.7,1183.9,1183.9,92,90.27,236.252,2.17,0,0.0,0.0
2015-01-02,1184.0,1194.5,1169.5,1186.0,1186.0,138,91.08,236.252,2.12,0,0.0,0.0
2015-01-05,1180.3,1206.9,1180.1,1203.9,1203.9,470,91.38,236.252,2.04,0,0.0,0.0
2015-01-06,1203.5,1220.0,1203.5,1219.3,1219.3,97,91.5,236.252,1.97,2,0.26335,0.3724331416509545
2015-01-07,1219.2,1219.2,1210.6,1210.6,1210.6,29,91.89,236.252,1.96,1,-0.0258,0.0
2015-01-08,1207.0,1215.7,1206.3,1208.4,1208.4,92,92.37,236.252,2.03,2,0.3404,0.4813982966318015
2015-01-09,1211.1,1220.2,1210.3,1216.0,1216.0,43,91.94,236.252,1.98,0,0.0,0.0
2015-01-12,1224.2,1234.4,1219.1,1232.7,1232.7,100,91.98,236.252,1.92,0,0.0,0.0
2015-01-13,1239.2,1239.3,1230.3,1234.3,1234.3,20,92.31,236.252,1.91,1,0.0,0.0
2015-01-14,1229.6,1243.8,1225.6,1234.4,1234.4,21,92.16,236.252,1.86,1,0.3182,0.0
2015-01-15,1231.5,1265.0,1227.3,1264.7,1264.7,130,92.35,236.252,1.77,2,-0.148,0.209303607231218
2015-01-16,1256.1,1279.7,1256.1,1276.9,1276.9,44,92.52,236.252,1.83,1,0.0,0.0
2015-01-20,1278.9,1297.3,1273.8,1294.2,1294.2,157,93.05,236.252,1.82,1,-0.1406,0.0
2015-01-21,1295.2,1303.5,1286.7,1293.7,1293.7,78,92.9,236.252,1.87,0,0.0,0.0
2015-01-22,1293.2,1302.1,1283.5,1300.7,1300.7,131,94.24,236.252,1.9,1,0.0,0.0
2015-01-23,1299.8,1299.8,1292.6,1292.6,1292.6,23,95.0,236.252,1.81,1,-0.2732,0.0
2015-01-26,1289.5,1290.6,1279.4,1279.4,1279.4,26,94.8,236.252,1.83,0,0.0,0.0
2015-01-27,1277.2,1291.7,1277.2,1291.7,1291.7,20,94.02,236.252,1.83,3,0.0110666666666666,0.5703846187734495
2015-01-28,1285.9,1286.8,1285.9,1285.9,1285.9,"180,387",94.47,236.252,1.73,0,0.0,0.0
2015-01-29,1283.3,1285.4,1251.0,1254.6,1254.6,"67,983",94.78,236.252,1.77,1,0.1779,0.0
2015-01-30,1258.0,1284.3,1257.0,1278.5,1278.5,"8,626",94.8,236.252,1.68,0,0.0,0.0
2015-02-02,1284.1,1284.1,1266.0,1276.2,1276.2,"1,654",94.5,236.252,1.68,2,0.0,0.0
2015-02-03,1273.5,1284.7,1255.3,1259.7,1259.7,"2,380",93.6,236.252,1.79,3,-0.1497,0.1480292876426823
2015-02-04,1262.0,1271.6,1256.8,1263.8,1263.8,668,93.99,236.252,1.81,0,0.0,0.0
2015-02-05,1271.8,1272.6,1257.8,1262.0,1262.0,133,94.7,236.252,1.83,3,-0.0773333333333333,0.5786884942119839
2015-02-06,1265.0,1267.6,1228.0,1233.9,1233.9,432,94.7,236.252,1.95,1,-0.2732,0.0
2015-02-09,1237.5,1242.3,1235.4,1240.8,1240.8,319,94.45,236.252,1.96,1,-0.4939,0.0
2015-02-10,1237.5,1245.0,1231.2,1231.6,1231.6,231,94.76,236.252,2.01,1,-0.296,0.0
2015-02-11,1233.3,1237.4,1219.0,1219.0,1219.0,102,94.99,236.252,2.0,1,-0.0516,0.0
2015-02-12,1217.9,1229.8,1217.9,1220.1,1220.1,99,94.09,236.252,1.99,0,0.0,0.0
2015-02-13,1222.2,1232.8,1222.2,1226.5,1226.5,65,94.2,236.252,2.02,0,0.0,0.0
2015-02-17,1227.7,1234.0,1203.0,1208.1,1208.1,204,94.06,236.252,2.14,0,0.0,0.0
2015-02-18,1207.1,1210.2,1197.8,1199.7,1199.7,147,94.2,236.252,2.07,0,0.0,0.0
2015-02-19,1216.5,1220.0,1205.0,1207.1,1207.1,65,94.4,236.252,2.11,0,0.0,0.0
2015-02-20,1206.5,1213.1,1199.1,1204.4,1204.4,51,94.25,236.252,2.13,0,0.0,0.0
2015-02-23,1201.3,1203.3,1191.6,1200.3,1200.3,268,94.57,236.252,2.06,0,0.0,0.0
2015-02-24,1203.4,1203.5,1193.8,1196.9,1196.9,151,94.49,236.252,1.99,2,0.28595,0.4043943681605865
2015-02-25,1204.3,1204.6,1201.0,1201.0,1201.0,570,94.21,236.252,1.96,0,0.0,0.0
2015-02-26,1204.8,1219.0,1204.8,1209.6,1209.6,560,95.29,236.252,2.03,0,0.0,0.0
2015-02-27,1207.7,1217.8,1204.5,1212.6,1212.6,195,95.25,236.252,2.0,4,-0.0683,0.1366
2015-03-02,1214.3,1222.7,1204.9,1207.7,1207.7,124,95.46,236.252,2.08,1,0.0,0.0
2015-03-03,1201.5,1212.0,1195.0,1204.0,1204.0,51,95.38,236.252,2.12,0,0.0,0.0
2015-03-04,1204.8,1206.9,1198.0,1200.6,1200.6,27,95.97,236.252,2.12,0,0.0,0.0
2015-03-05,1201.7,1205.4,1195.9,1195.9,1195.9,29,96.38,236.252,2.11,1,0.0,0.0
2015-03-06,1195.0,1195.7,1163.7,1164.1,1164.1,168,97.62,236.252,2.24,0,0.0,0.0
2015-03-09,1169.4,1174.2,1166.3,1166.4,1166.4,45,97.59,236.252,2.2,2,0.5537,0.1342088670692067
2015-03-10,1166.4,1168.4,1156.5,1160.1,1160.1,94,98.62,236.252,2.14,1,0.0,0.0
2015-03-11,1162.0,1162.0,1147.7,1150.7,1150.7,74,99.8,236.252,2.11,0,0.0,0.0
2015-03-12,1155.4,1160.5,1149.7,1152.1,1152.1,63,99.15,236.252,2.1,0,0.0,0.0
2015-03-13,1158.2,1159.2,1152.6,1152.6,1152.6,44,100.33,236.252,2.13,1,0.4404,0.0
2015-03-16,1159.7,1162.3,1150.1,1153.3,1153.3,56,99.6,236.252,2.1,2,0.10115,0.1430477018340385
2015-03-17,1153.6,1158.2,1144.3,1148.3,1148.3,71,99.59,236.252,2.06,1,0.4588,0.0
2015-03-18,1148.7,1174.3,1147.0,1151.4,1151.4,112,98.55,236.252,1.93,0,0.0,0.0
2015-03-19,1171.6,1171.6,1159.3,1169.1,1169.1,39,99.1,236.252,1.98,1,0.4215,0.0
2015-03-20,1171.0,1185.4,1171.0,1184.8,1184.8,54,97.91,236.252,1.93,0,0.0,0.0
2015-03-23,1181.6,1188.0,1181.2,1188.0,1188.0,5,97.03,236.252,1.92,0,0.0,0.0
2015-03-24,1188.0,1193.0,1186.0,1191.7,1191.7,411,97.19,236.252,1.88,1,0.0,0.0
2015-03-25,1192.5,1199.2,1192.5,1197.3,1197.3,11,96.98,236.252,1.93,0,0.0,0.0
2015-03-26,1198.2,1213.7,1198.2,1205.1,1205.1,68,97.44,236.252,2.01,1,-0.128,0.0
2015-03-27,1197.0,1199.8,1196.3,1199.8,1199.8,"172,260",97.29,236.252,1.95,1,0.3818,0.0
2015-03-30,1198.0,1198.5,1181.6,1184.8,1184.8,"37,990",97.98,236.252,1.96,1,0.0,0.0
2015-03-31,1185.8,1190.1,1178.2,1183.1,1183.1,"3,409",98.36,236.252,1.94,0,0.0,0.0
2015-04-01,1182.9,1208.2,1181.0,1208.1,1208.1,"1,632",98.19,236.222,1.87,1,0.0,0.0
2015-04-02,1204.0,1205.7,1194.8,1200.9,1200.9,"1,684",97.44,236.222,1.92,0,0.0,0.0
2015-04-06,1209.9,1224.2,1209.9,1218.6,1218.6,343,97.11,236.222,1.92,0,0.0,0.0
2015-04-07,1214.8,1214.8,1208.2,1210.6,1210.6,406,97.83,236.222,1.89,0,0.0,0.0
2015-04-08,1208.9,1211.4,1197.6,1203.1,1203.1,236,98.07,236.222,1.92,0,0.0,0.0
2015-04-09,1201.7,1202.5,1193.0,1193.6,1193.6,521,99.16,236.222,1.97,2,0.4201,0.5941111175529372
2015-04-10,1195.8,1209.6,1195.8,1204.6,1204.6,202,99.39,236.222,1.96,0,0.0,0.0
2015-04-13,1208.1,1208.1,1198.3,1199.3,1199.3,424,99.49,236.222,1.94,0,0.0,0.0
2015-04-14,1198.8,1200.6,1184.1,1192.8,1192.8,546,98.76,236.222,1.9,0,0.0,0.0
2015-04-15,1194.6,1203.1,1188.6,1201.5,1201.5,196,98.33,236.222,1.91,0,0.0,0.0
2015-04-16,1204.3,1208.5,1194.6,1198.0,1198.0,199,97.42,236.222,1.9,0,0.0,0.0
2015-04-17,1200.2,1206.0,1200.2,1202.9,1202.9,21,97.52,236.222,1.87,1,0.3818,0.0
2015-04-20,1205.7,1206.9,1191.0,1193.5,1193.5,67,97.94,236.222,1.9,0,0.0,0.0
2015-04-21,1193.2,1202.9,1192.8,1202.9,1202.9,33,97.98,236.222,1.92,1,0.0516,0.0
2015-04-22,1199.1,1202.6,1185.2,1186.9,1186.9,93,98.02,236.222,1.99,0,0.0,0.0
2015-04-23,1187.2,1197.0,1186.1,1194.4,1194.4,331,97.28,236.222,1.96,0,0.0,0.0
2015-04-24,1192.3,1194.7,1174.6,1175.2,1175.2,52,96.92,236.222,1.93,0,0.0,0.0
2015-04-27,1182.3,1206.7,1181.4,1203.3,1203.3,194,96.77,236.222,1.94,1,0.0,0.0
